"","jobTitle","location","skill","count"
"306","Data Scientist / Machine Learning Expert - Bangkok, Thailand","Perth","Cooperation","0"
"307","Data Scientist / Machine Learning Expert - Bangkok, Thailand","Perth","statistics","1"
"308","Data Scientist / Machine Learning Expert - Bangkok, Thailand","Perth","SQL","1"
"309","Data Scientist / Machine Learning Expert - Bangkok, Thailand","Perth","communication","0"
"310","Data Scientist / Machine Learning Expert - Bangkok, Thailand","Perth","big data","0"
"311","Data Scientist / Machine Learning Expert - Bangkok, Thailand","Perth","design","0"
"312","Data Scientist / Machine Learning Expert - Bangkok, Thailand","Perth","visualization","0"
"313","Data Scientist / Machine Learning Expert - Bangkok, Thailand","Perth","Hadoop","0"
"314","Data Scientist / Machine Learning Expert - Bangkok, Thailand","Perth","Java","1"
"315","Data Scientist / Machine Learning Expert - Bangkok, Thailand","Perth","research","0"
"316","Data Scientist / Machine Learning Expert - Bangkok, Thailand","Perth","creative","1"
"317","Data Scientist / Machine Learning Expert - Bangkok, Thailand","Perth","MATLAB","0"
"318","Data Scientist / Machine Learning Expert - Bangkok, Thailand","Perth","SAS","0"
"319","Data Scientist / Machine Learning Expert - Bangkok, Thailand","Perth"," R ","0"
"320","Data Scientist / Machine Learning Expert - Bangkok, Thailand","Perth","Modelling","0"
"321","Data Scientist / Machine Learning Expert - Bangkok, Thailand","Perth","(C++)","115"
"322","Data Scientist / Machine Learning Expert - Bangkok, Thailand","Perth","Phd","0"
"323","Data Scientist","Brisbane","Python","1"
"324","Data Scientist","Brisbane","programming","1"
"325","Data Scientist","Brisbane","analytics","5"
"326","Data Scientist","Brisbane","mathematics","0"
"327","Data Scientist","Brisbane","machine learning","1"
"328","Data Scientist","Brisbane","team","2"
"329","Data Scientist","Brisbane","Cooperation","0"
"330","Data Scientist","Brisbane","statistics","1"
"331","Data Scientist","Brisbane","SQL","1"
"332","Data Scientist","Brisbane","communication","0"
"333","Data Scientist","Brisbane","big data","1"
"334","Data Scientist","Brisbane","design","0"
"335","Data Scientist","Brisbane","visualization","0"
"336","Data Scientist","Brisbane","Hadoop","0"
"337","Data Scientist","Brisbane","Java","0"
"338","Data Scientist","Brisbane","research","0"
"339","Data Scientist","Brisbane","creative","0"
"340","Data Scientist","Brisbane","MATLAB","0"
"341","Data Scientist","Brisbane","SAS","0"
"342","Data Scientist","Brisbane"," R ","1"
"343","Data Scientist","Brisbane","Modelling","0"
"344","Data Scientist","Brisbane","(C++)","117"
"345","Data Scientist","Brisbane","Phd","0"
"346","Data Scientist","Sydney","Python","1"
"347","Data Scientist","Sydney","programming","1"
"348","Data Scientist","Sydney","analytics","2"
"349","Data Scientist","Sydney","mathematics","0"
"350","Data Scientist","Sydney","machine learning","1"
"351","Data Scientist","Sydney","team","3"
"352","Data Scientist","Sydney","Cooperation","0"
"353","Data Scientist","Sydney","statistics","0"
"354","Data Scientist","Sydney","SQL","1"
"355","Data Scientist","Sydney","communication","3"
"356","Data Scientist","Sydney","big data","1"
"357","Data Scientist","Sydney","design","0"
"358","Data Scientist","Sydney","visualization","0"
"359","Data Scientist","Sydney","Hadoop","0"
"360","Data Scientist","Sydney","Java","1"
"361","Data Scientist","Sydney","research","1"
"362","Data Scientist","Sydney","creative","0"
"363","Data Scientist","Sydney","MATLAB","0"
"364","Data Scientist","Sydney","SAS","0"
